index,image_path,predicted_class,confidence,margin,status,prob_Healthy,prob_Early_Blight,prob_Late_Blight,diagnosis_text
11,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_2.jpg,Healthy,0.999754,0.999521,confident,0.999754,1.4e-05,0.000232,诊断结果：这片叶子判定为健康状态。模型置信度为 99.98%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 99.98%，早疫病 0.00%，晚疫病 0.02%。建议继续保持观察，并结合后续图像采集进行周期性监测。
12,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_3.jpg,Healthy,0.999997,0.999995,confident,0.999997,1e-06,2e-06,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
13,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_4.jpg,Healthy,0.999989,0.999979,confident,0.999989,0.0,1e-05,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
14,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_5.jpg,Healthy,0.999992,0.999985,confident,0.999992,1e-06,7e-06,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
15,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_6.jpg,Healthy,0.999971,0.999951,confident,0.999971,8e-06,2e-05,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
16,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_7.jpg,Healthy,0.999959,0.999919,confident,0.999959,0.0,4.1e-05,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
17,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_8.jpg,Healthy,0.999863,0.999727,confident,0.999863,1e-06,0.000136,诊断结果：这片叶子判定为健康状态。模型置信度为 99.99%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 99.99%，早疫病 0.00%，晚疫病 0.01%。建议继续保持观察，并结合后续图像采集进行周期性监测。
18,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Healthy_9.jpg,Healthy,0.999987,0.99998,confident,0.999987,5e-06,8e-06,诊断结果：这片叶子判定为健康状态。模型置信度为 100.00%，结果可信度很高。当前未检测到明显的早疫病或晚疫病特征。各类别概率分别为：健康 100.00%，早疫病 0.00%，晚疫病 0.00%。建议继续保持观察，并结合后续图像采集进行周期性监测。
19,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_1.jpg,Late_Blight,0.999983,0.99997,confident,1.3e-05,4e-06,0.999983,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
20,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_2.jpg,Late_Blight,0.999955,0.999911,confident,4.5e-05,0.0,0.999955,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
21,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_3.jpg,Late_Blight,0.999808,0.99962,confident,4e-06,0.000188,0.999808,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 99.98%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.02%，晚疫病 99.98%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
22,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_4.jpg,Late_Blight,1.0,1.0,confident,0.0,0.0,1.0,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
23,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_5.jpg,Late_Blight,0.999999,0.999998,confident,0.0,1e-06,0.999999,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
24,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_6.jpg,Late_Blight,0.999997,0.999995,confident,2e-06,0.0,0.999997,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
25,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_7.jpg,Late_Blight,1.0,1.0,confident,0.0,0.0,1.0,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
26,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_8.jpg,Late_Blight,0.999999,0.999999,confident,1e-06,0.0,0.999999,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
27,D:\研究生毕业论文实验\potato_cnn_project\sample_images\Late_Blight_9.jpg,Late_Blight,1.0,1.0,confident,0.0,0.0,1.0,诊断结果：这片叶子疑似患有晚疫病。模型置信度为 100.00%，结果可信度很高。该结果通常对应较大面积病斑、组织受损或边缘坏死等表现。各类别概率分别为：健康 0.00%，早疫病 0.00%，晚疫病 100.00%。建议尽快结合实际植株状态进行复核，并关注病害进一步传播风险。
